Name	SMILES	Formula	ƒÂD	ƒÂP	ƒÂH	ƒÂHDon	ƒÂHAcc	MWt	Density	MVol
GLYCERYL_MONOCITRATE	O=C(O)CC(O)(CC(=O)OCC(O)CO)C(=O)O	C9H14O9	17.45	11.17	20.26	15.6	16.7	266.2	1.513	175.9
Malic_acid	O=C(O)CC(O)C(=O)O	C4H6O5	17.74	12.57	26.01	20.1	17	134.1	1.491	90
Succinic_acid	O=C(O)CCC(=O)O	C4H6O4	17.31	10.61	21.83	17.6	13	118.1	1.29	91.5
Adipic_acid	O=C(O)CCCCC(=O)O	C6H10O4	16.98	8.47	17.7	14.7	10.2	146.1	1.169	125
Biotin	O=C(O)CCCCC1SCC2NC(=O)NC21	C10H16N2O3S	18.61	12.54	11.01	9.5	6.8	244.3	1.29	189.4
Thiodipropionic_acid	O=C(O)CCSCCC(=O)O	C6H10O4S	17.99	9.33	17.18	12.9	11.4	178.2	1.288	138.4
EDETIC_ACID	O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O	C10H16N2O8	16.37	9.18	21.68	14.7	13.2	292.2	1.39	210.2
PENTETIC_ACID	O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O	C14H23N3O10	15.84	9.02	20.95	12	12.9	393.4	1.375	286.1
BROCRINAT	O=C(O)COc1ccc2c(-c3ccccc3F)noc2c1Br	C15H9BrFNO4	20.09	7.6	9.05	6.9	6.6	366.1	1.652	221.6
L-Malic_acid	O=C(O)C[C@H](O)C(=O)O	C4H6O5	17.74	12.57	26.01	20.1	17	134.1	1.491	90
LACTOBIONIC_ACID	O=C(O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO	C12H22O12	16.83	11.02	21.26	32.3	16.4	358.3	1.211	295.9
GENTISIC_ACID	O=C(O)c1cc(O)ccc1O	C7H6O4	20.55	9.48	18.76	15.9	10.5	154.1	1.447	106.5
Benzoic_Acid	O=C(O)c1ccccc1	C7H6O2	19.22	6.31	9.96	8.5	6.5	122.1	1.196	102.1
D&C_RED_NO._39	O=C(O)c1ccccc1N=Nc1ccc(N(CCO)CCO)cc1	C17H19N3O4	19.81	8.33	12.17	10.4	10.6	329.4	1.323	248.9
Niacin_(nicotinic_acid)	O=C(O)c1cccnc1	C6H5NO2	19.79	9.75	10.97	8.7	8.4	123.1	1.298	94.9
POLYGLYCERYL-3_OLEATE	O=C(OCC(O)CO)C(CC(O)CO)C(CC(O)CO)C(CC(O)CO)C(CCC/C=C\CCCCCCCCCC(O)CO)CC(O)CO	C36H70O14	16.87	3.83	2.91	17.6	8.5	726.9	1.08	673
Tannic_acid_(hydrolyzable_gallotannins)	Error									
BENZYL_BENZOATE	O=C(OCc1ccccc1)c1ccccc1	C14H12O2	18.7	5.13	3.9	0.1	3.8	212.2	1.123	189.1
BENZOYL_PEROXIDE	O=C(OOC(=O)c1ccccc1)c1ccccc1	C14H10O4	18.94	7.83	4.33	0.1	4.3	242.2	1.245	194.5
Ferrous_fumarate	Error									
SODIUM_BITARTRATE	Error									
MAGNESIUM_TARTRATE	Error									
L(+)-sodium_tartrate	Error									
STANNOUS_TARTRATE	Error									
Magnesium_gluconate	Error									
SODIUM_GLUCONATE	Error									
CALCIUM_GLUCEPTATE	Error									
FD&C_YELLOW_NO._5	Error									
Manganous_citrate	O=C([O-])CC(O)(CC(=O)O)C(=O)[O-]	C6H8O7	17.6	11.36	25.98	22.3	15.3	192.1	1.566	122.7
DISODIUM_HYDROGEN_CITRATE	Error									
Calcium_citrate	Error									
Ferric_citrate	Error									
Potassium_citrate	Error									
Sodium_citrate	Error									
Sodium_ferricitropyrophosphate	Error									
SODIUM_THIOMALATE	Error									
EDETATE_DISODIUM_ANHYDROUS	Error									
EDETATE_CALCIUM_DISODIUM_ANHYDROUS	Error									
Sodium_ferric_EDTA	Error									
EDETATE_SODIUM	Error									
PENTETATE_CALCIUM_TRISODIUM	Error									
PENTASODIUM_PENTETATE	Error									
TRISODIUM_HEDTA	Error									
CALCOBUTROL	Error									
SODIUM_THIOGLYCOLATE	Error									
Sodium_sesquicarbonate	Error									
Potassium_bicarbonate	Error									
Sodium_bicarbonate	Error									
L(+)-potassium_acid_tartrate	Error									
Calcium_gluconate	Error									
Manganese_gluconate	Error									
Zinc_gluconate	Error									
Potassium_gluconate	Error									
Sodium_gluconate	Error									
GLUCEPTATE_SODIUM	Error									
Ammonium_bicarbonate	Error									
DIHYDROXYALUMINUM_SODIUM_CARBONATE	Error									
Calcium_carbonate	Error									
Ferrous_carbonate	Error									
Potassium_carbonate	Error									
MAGNESIUM_CARBONATE	Error									
Magnesium_carbonate	Error									
Sodium_carbonate	Error									
Zinc_carbonate	Error									
Iron_naphthenate	Error									
Sodium_Benzoate	Error									
CALCIUM_SALICYLATE	Error									
DISODIUM_SULFOSALICYLATE	Error									
BENZOIN	O=C(c1ccccc1)C(O)c1ccccc1	C14H12O2	19.57	6.88	8.83	5.7	6.9	212.2	1.184	179.3
CINNAMALDEHYDE	O=C/C=C/c1ccccc1	C9H8O	18.72	6.69	5.42	1.2	4.9	132.2	1.033	127.9
D&C_BLUE_NO._6	O=C1/C(=C2/Nc3ccccc3C2=O)Nc2ccccc21	C16H10N2O2	21.05	17.36	10	7.9	4.9	262.3	1.533	171
INDIGOTINE_P	Error									
FD&C_BLUE_NO._2--ALUMINUM_LAKE	Error									
INDIGOTINDISULFONATE_SODIUM	Error									
L-Ascorbic_acid	O=C1C(O)=C(O)OC1C(O)CO	C6H8O6	18.88	18.11	22.94	17.9	20.3	176.1	1.404	125.4
Ferrous_ascorbate	Error									
Sodium_erythorbate_(sodium_D-isoascorbate)	Error									
AMARANTH	Error									
CAPTAN	O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl	C9H8Cl3NO2S	20.2	6.01	3.8	0.4	4.4	300.6	1.443	208.3
ACID_ORANGE_20	Error									
FD&C_YELLOW_NO._6	Error									
D&C_RED_NO._17	O=C1C=Cc2ccccc2/C1=N/Nc1ccc(N=Nc2ccccc2)cc1	C22H16N4O	21.09	7.22	2.08	5	1.6	352.4	1.298	271.4
D&C_RED_NO._36	O=C1C=Cc2ccccc2/C1=N/Nc1ccc([N+](=O)[O-])cc1Cl	C16H10ClN3O3	21.27	9.8	3.29	5.7	1.9	327.7	1.468	223.2
PENTADECALACTONE	O=C1CCCCCCCCCCCCCCO1	C15H28O2	16.88	2.83	3.65	0.1	3.9	240.4	0.933	257.7
SODIUM_PYRROLIDONE_CARBOXYLATE	Error									
SACCHARIN_SODIUM_ANHYDROUS	Error									
SACCHARIN	O=C1NS(=O)(=O)c2ccccc21	C7H5NO3S	21.51	20.55	10.01	5.9	7.7	183.2	1.606	114.1
GLUCONOLACTONE	O=C1OC(CO)C(O)C(O)C1O	C6H10O6	15.71	13.48	22.68	18.6	18.5	178.1	0.946	188.3
Sodium_L-ascorbate	Error									
D&C_RED_NO._27	O=C1OC2(c3cc(Br)c(O)c(Br)c3Oc3c2cc(Br)c(O)c3Br)c2c(Cl)c(Cl)c(Cl)c(Cl)c21	C20H4Br4Cl4O5	23.32	6.77	8.27	4.2	6.1	785.6	2.166	362.7
D&C_RED_NO._28	Error									
FLUORESCEIN	O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21	C20H12O5	21.51	6.92	9.24	6.7	5.9	332.3	1.378	241.1
D&C_YELLOW_NO._10	Error									
D&C_YELLOW_NO._11	O=C1c2ccccc2C(=O)C1c1ccc2ccccc2n1	C18H11NO2	21.15	11.31	5.26	1.7	5.6	273.3	1.358	201.2
Carbon_dioxide	O=C=O	CO2	16.91	14.56	10.94	1.8	9.8	44	1.317	33.4
"GLUCOSE,_LIQUID"	O=CC(O)C(O)C(O)C(O)CO	C6H12O6	17.55	13.53	26.96	20.7	17.8	180.2	1.199	150.3
Formic_acid_(packaging)	O=CO	CH2O2	14.16	8.55	13.28	11.2	9.7	46	1.163	39.6
EPILACTOSE	O=C[C@@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO	C12H22O11	16.9	11.24	18.95	32.1	15.1	342.3	1.172	292
POLYGALACTURONIC_ACID	O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C(=O)O	C6H10O7	17.5	15.11	27.5	22	16.2	194.1	1.357	143.1
GLUCURONIC_ACID	O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)C(=O)O	C6H10O7	17.5	15.11	27.5	22	16.2	194.1	1.357	143.1
MALTODEXTRIN	O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	C6H12O6	17.55	13.53	26.96	20.7	17.8	180.2	1.199	150.3
Dextran	O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO[C@H]1O[C@H](CO[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O	C18H32O16	16.52	12.69	6.39	122.2	7.2	504.4	1.341	376.3
Sodium_formate_(packaging)	Error									
BENZALDEHYDE	O=Cc1ccccc1	C7H6O	18.88	7.99	6.22	3.4	4.9	106.1	1.047	101.4
Calcium_iodate	Error									
Potassium_iodate	Error									
NIOXIME	O=NC1=C(NO)CCCC1	C6H10N2O2	17.69	4.95	16.7	9.1	13.4	142.2	1.228	115.8
Sodium_metaphosphate	Error									
SODIUM_PHOSPHITE	Error									
Phosphoric_acid	O=P(O)(O)O	H3O4P	25.94	19.7	62.58	41	44	98	1.953	50.2
Ammonium_phosphate_monobasic_(Report_34)	Error									
Sodium_phosphate_monobasic	Error									
Sodium_hexametaphosphate	Error									
OXIDRONATE_DISODIUM	Error									
Calcium_phosphate_dibasic	Error									
Potassium_phosphate_dibasic	Error									
Ammonium_phosphate_dibasic_(Report_34)	Error									
"SODIUM_PHOSPHATE,_DIBASIC,_ANHYDROUS"	Error									
Potassium_glycerophosphate	Error									
Magnesium_glycerophosphate_(packaging)	Error									
Manganese_glycerophosphate	Error									
Calcium_glycerophosphate_(packaging)	Error									
Calcium_phytate	Error									
Sodium_tetraphosphate	Error									
Potassium_tripolyphosphate	Error									
Sodium_tripolyphosphate	Error									
Ferric_pyrophosphate	Error									
Calcium_pyrophosphate	Error									
Ferric_sodium_pyrophosphate	Error									
Potassium_pyrophosphate	Error									
"Sodium_pyrophosphate,_tetrabasic"	Error									
PHOSPHATE_ION	O=P([O-])([O-])[O-]	H3O4P	25.94	19.7	62.58	41	44	98	1.953	50.2
Calcium_phosphate_tribasic	Error									
"Magnesium_phosphate,_tribasic"	Error									
"Sodium_aluminum_phosphate,_basic"	Error									
Ferric_phosphate	Error									
Potassium_phosphate_tribasic	Error									
