Name	SMILES	Formula	ƒÂD	ƒÂP	ƒÂH	ƒÂHDon	ƒÂHAcc	MWt	Density	MVol
DB00183	CSCC[C@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O	C37H49N7O9S	19.72	19.35	10.83	9.2	6.3	767.9	1.323	580.5
DB00184	CN1CCCC1C1=CN=CC=C1	C10H14N2	18.42	5.17	5.13	0.1	5.1	162.2	1.003	161.7
DB00185	CC1O[C@@]2(CS1)CN1CCC2CC1	C10H17NOS	18.52	5.21	5.47	0.2	5.1	199.3	1.13	176.4
DB00186	OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2	C15H10Cl2N2O2	20.76	11.06	7.34	9.2	5.3	321.2	1.492	215.3
DB00187	COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1	C16H25NO4	17.59	5.72	7.62	3.2	8	295.4	1.086	272
DB00188	CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O	C19H25BN4O4	19.42	11.01	18.46	12.5	13.6	384.2	1.244	308.9
DB00189	[H]C(Cl)=CC(O)(CC)C#C	C7H9ClO	17.41	5.31	8.71	8.5	4.5	144.6	1.08	133.9
DB00190	C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O	C10H14N2O4	19.75	6.82	17.01	14.7	9.7	226.2	1.299	174.1
DB00191	CC(C)(N)CC1=CC=CC=C1	C10H15N	17.3	2.91	4.57	2.1	3.7	149.2	0.919	162.4
DB00192	CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12	C20H24N2O	18.73	8.45	4.76	3.3	3.9	308.4	1.099	280.7
DB00193	COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C	C16H25NO2	17.85	4.38	6.4	3.9	5	263.4	1.04	253.2
DB00194	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O	C10H13N5O4	19.28	13.94	16.9	9.9	15.1	267.3	1.402	190.6
DB00195	CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1	C18H29NO3	17.7	5.78	6.99	3.1	7.2	307.4	1.075	286
DB00196	OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1	C13H12F2N6O	19.74	11.6	8.68	5	7.1	306.3	1.379	222.1
DB00198	CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1	C16H28N2O4	17.28	8	6.51	4	5.3	312.4	1.053	296.7
DB00199	Error									
DB00200	Error									
DB00201	CN1C=NC2=C1C(=O)N(C)C(=O)N2C	C8H10N4O2	19.56	12.51	8.5	6.6	7.1	194.2	1.252	155.1
DB00202	Error									
DB00203	CCCC1=NN(C)C2=C1NC(=NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N1CCN(C)CC1	C22H30N6O4S	19.55	13.51	6.59	3.5	3	474.6	1.279	371.2
DB00204	CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1	C19H27N3O5S2	19.6	16.5	10.84	7.8	6.4	441.6	1.316	335.6
DB00205	CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1	C12H13ClN4	20.01	8.49	9.46	4.5	7.3	248.7	1.247	199.4
DB00206	[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2	C33H40N2O9	19.93	5.92	7.19	2.7	0.1	608.7	1.273	478
DB00207	Error									
DB00208	ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2	C14H14ClNS	20.02	3.81	5.67	3.8	5	263.8	1.205	218.9
DB00209	Error									
DB00210	COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2	C28H28O3	19.63	3.23	6.55	4	4.2	412.5	1.227	336.1
DB00211	COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1	C12H18N2O4	19.31	12.41	12.69	6.9	8	254.3	1.265	201
DB00212	[H][C@@](CC1=CC=CC=C1)(CS(=O)(=O)C(C)(C)C)C(O)=N[C@@]([H])(CC1=CN=CN1)C(O)=N[C@@]([H])(CC1CCCCC1)[C@@]([H])(O)[C@@]([H])(O)C1CC1	C33H50N4O6S	18.13	11.71	0.1	24.3	11.7	630.8	1.189	530.6
DB00213	COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1	C16H15F2N3O4S	20.29	14.07	8.35	0.1	3.9	383.4	1.429	268.4
DB00214	CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1	C16H20N4O3S	19.99	15.84	8.31	7.7	6.5	348.4	1.298	268.4
DB00215	CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1	C20H21FN2O	18.68	5.84	3.46	0.1	3.5	324.4	1.146	282.9
DB00216	CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2	C22H26N2O2S	19.11	10.6	6.91	4.1	4.5	382.5	1.251	305.9
DB00217	CN\C(NCC1=CC=CC=C1)=N/C	C10H15N3	17.8	5.38	3.45	2.9	3.3	177.2	1.016	174.5
DB00218	[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O	C21H24FN3O4	20.99	14.79	10.92	7.1	7.2	401.4	1.481	271
DB00219	Error									
DB00220	[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C	C32H45N3O4S	20.27	9.6	4.66	9.7	7.9	567.8	1.166	486.8
DB00221	CCC(NC(C)C)C(O)C1=CC(O)=C(O)C=C1	C13H21NO3	18.35	5.91	11.69	8.4	9.2	239.3	1.089	219.7
DB00222	CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC2CCC(C)CC2)C1=O	C24H34N4O5S	19.97	15.79	8.62	5.8	7.7	490.6	1.255	390.8
DB00223	[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C	C22H28F2O5	18.88	9.41	8.75	5.7	8.5	410.4	1.313	312.7
DB00224	CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12	C36H47N5O4	20.42	9.83	0.1	9.8	10.3	613.8	1.17	524.7
DB00225	O=C1[O-][Gd+3]234567[O]=C(C[N]2(CC[N]3(CC([O-]4)=O)CC[N]5(CC(=[O]6)NC)CC(=O)[O-]7)C1)NC	C16H29N5O7	16.86	15.25	15.89	9.4	9.5	403.4	1.27	317.7
DB00226	NC(N)=NCC1COC2(CCCCC2)O1	C10H19N3O2	18.02	7.86	4.78	0.4	4.1	213.3	1.183	180.2
DB00227	[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC	C24H36O5	16.97	0.53	4.47	4.3	5.3	404.5	1.031	392.5
DB00228	FC(F)OC(F)(F)C(F)Cl	C3H2ClF5O	14.68	6.53	4.14	2.9	2.6	184.5	1.531	120.5
DB00229	[H][C@]12SCC(CSC3=NN=NN3CCN(C)C)=C(N1C(=O)[C@H]2NC(=O)CC1=CSC(N)=N1)C(O)=O	C18H23N9O4S3	20.73	13.72	14.48	4.1	10.6	525.7	1.488	353.3
DB00230	CC(C)C[C@H](CN)CC(O)=O	C8H17NO2	16.23	3.78	10.87	8	6.8	159.2	0.965	165.1
DB00231	CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1	C16H13ClN2O2	19.78	7.63	7.1	8.4	5.9	300.7	1.351	222.6
DB00232	CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O	C9H11Cl2N3O4S2	20.2	21.2	10.59	13.7	5.7	360.2	1.722	209.2
DB00233	NC1=CC(O)=C(C=C1)C(O)=O	C7H7NO3	20.68	9.24	19.18	16.4	11.4	153.1	1.404	109
DB00234	[H][C@@](OC1=CC=CC=C1OCC)(C1=CC=CC=C1)[C@@]1([H])CNCCO1	C19H23NO3	18.98	3.7	5.17	1.5	4.5	313.4	1.119	280
DB00235	CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1	C12H9N3O	19.69	11.99	8.57	4.8	7.2	211.2	1.286	164.2
DB00236	BrCCC(=O)N1CCN(CC1)C(=O)CCBr	C10H16Br2N2O2	19.55	15.39	5.99	6.1	5.8	356	1.752	203.3
DB00237	CCC(C)C1(CC)C(=O)NC(=O)NC1=O	C10H16N2O3	17.74	11.24	8.01	5.6	5.5	212.2	1.099	193.2
DB00238	CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1	C15H14N4O	21.18	13.8	7.2	1.5	6.5	266.3	1.388	191.8
DB00239	ClC1=CC(Cl)=C(CO\N=C(/CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1	C18H13Cl4N3O	20.39	7.13	2.19	0.9	2.5	429.1	1.401	306.3
DB00240	[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])[C@H](Cl)CC2=CC(=O)C=C[C@]12C	C22H29ClO5	18.93	11.11	5.22	0.1	6.1	408.9	1.276	320.5
DB00241	CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O	C11H16N2O3	17.72	10.21	7.38	5.4	4.3	224.3	1.103	203.3
DB00242	NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1	C10H12ClN5O3	19.96	13.55	14.02	8.9	13	285.7	1.493	191.3
DB00243	COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1	C24H33N3O4	19.8	8.22	9.09	5.1	5.6	427.5	1.169	365.8
DB00244	NC1=CC(C(O)=O)=C(O)C=C1	C7H7NO3	20.68	9.24	19.18	16.4	11.4	153.1	1.404	109
DB00245	[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C	C21H25NO	18.32	2.44	3.56	0.1	3.3	307.4	1.061	289.6
DB00246	ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1	C21H21ClN4OS	21.75	12.56	7.18	2.3	5.2	412.9	1.399	295.1
DB00247	[H][C@@]12CC3=CN(C)C4=C3C(=CC=C4)C1=C[C@H](CN2C)C(=O)NC(CC)CO	C21H27N3O2	19.61	8.26	8.79	7.1	6.7	353.5	1.212	291.7
DB00248	[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC	C26H37N5O2	19.13	9.42	7.59	1.2	4.8	451.6	1.163	388.3
DB00249	OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O	C9H11IN2O5	19.66	12.01	15.65	11.4	12.2	354.1	1.832	193.2
DB00250	NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1	C12H12N2O2S	20.87	14.44	12.57	9.8	8.6	248.3	1.351	183.8
